job,task,agent,model,steps,cost_usd,out_tokens,reward,deployed,substeps_passed,substeps_total,browser_passed,browser_total,pytest_passed,pytest_total,judge_score
2026-08-03__13-03-16,streak-habit-tracker,,,0,0.0,0,,,,,,,,,
2026-08-03__13-04-24,streak-habit-tracker,nop,,0,0.0,0,,,,,,,,,
2026-08-03__13-10-41,streak-habit-tracker,nop,,0,0.0,0,0.0,0.0,,,,,,,
2026-08-03__13-16-53,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,85,2.87744835,46026,0.0,0.0,,,,,,,
2026-08-03__14-34-29,streak-habit-tracker,claude-code,claude-opus-4-5-20251101,135,8.134843,66398,0.0,0.0,,,,,,,
2026-08-03__15-04-51,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,0,0.0,0,,,,,,,,,
2026-08-03__15-07-06,streak-habit-tracker,claude-code,claude-opus-4-5-20251101,166,8.352797499999996,57978,0.0,0.0,,,,,,,
2026-08-03__15-34-27,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,115,3.7958839500000003,58266,0.0,0.0,,,,,,,
2026-08-03__15-56-24,seat-allocation-map,claude-code,claude-opus-4-5-20251101,137,8.903151500000002,77502,0.0,0.0,,,,,,,
2026-08-03__16-30-18,seat-allocation-map,claude-code,claude-sonnet-4-5-20250929,87,3.2405976000000005,58470,0.0,0.0,,,,,,,
2026-08-03__17-10-43,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,54,2.07191445,43103,0.0,1.0,1,32,0,20,1,12,
2026-08-03__17-37-44,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,153,4.994529299999998,54490,0.0,1.0,1,32,0,20,1,12,0.0
2026-08-03__18-24-17,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,130,3.9791281499999993,51946,0.0,1.0,1,32,0,20,1,12,0.0
2026-08-03__18-53-21,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,31,0.7710561000000001,13531,0.0,0.0,,,,,,,
2026-08-03__20-43-13,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,100,3.281760450000001,50056,0.0,1.0,1,32,0,20,1,12,0.0
2026-08-03__21-09-48,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,136,5.0804011499999975,61587,0.0,1.0,1,32,0,20,1,12,0.0
2026-08-03__21-58-50,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,102,3.701176050000001,58374,0.0,0.0,,,,,,,
2026-08-03__22-37-09,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,83,3.16703625,62383,0.0,1.0,1,32,0,20,1,12,0.0
2026-08-04__00-04-56,streak-habit-tracker,claude-code,claude-sonnet-4-5-20250929,101,3.394425300000001,56089,0.0,1.0,1,32,0,20,1,12,0.0
2026-08-04__00-56-53,streak-habit-tracker,openhands,anthropic/claude-opus-4-8,0,0.0,0,,,,,,,,,
2026-08-04__01-13-28,streak-habit-tracker,openhands,anthropic/claude-opus-4-8,4,0.0,0,0.0,0.0,,,,,,,
2026-08-04__01-20-11,streak-habit-tracker,openhands,anthropic/claude-opus-4-5-20251101,4,0.0,0,0.0,0.0,,,,,,,
2026-08-04__01-34-37,streak-habit-tracker,openhands,anthropic/claude-opus-4-5-20251101,267,14.553891000000004,121479,0.0,1.0,1,32,0,20,1,12,0.0
